Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Trockenmasse,TS,N,P,K,Ca,Mg,C,TKG,Oel,Protein,Glukosinolate,Staerke,Koerner_kleiner_2_2,Koerner_von_2_2_bis_2_5,Koerner_von_2_5_bis_2_8,Koerner_groesser_2_8,N_Proz_Restpflanze_ohne_Korn
3461,3461,23.76,85.58,1.57,,,,,,43.47,,,,,,,,,
3462,3462,22.45,85.51,2.02,,,,,,41.13,,,,,,,,,
3463,3463,77.86,85.54,1.85,,,,,,38.34,,,,,,,,,
3464,3464,91.04,79.24,2.19,,,,,,40.93,,,,,,,,,
3465,3465,84.44,85.64,1.84,,,,,,41.1,,,,,,,,,
3466,3466,95.92,85.4,2.25,,,,,,37.06,,,,,,,,,
3467,3467,85.56,85.74,1.82,,,,,,43,,,,,,,,,
3468,3468,100.28,86.06,2.05,,,,,,41.37,,,,,,,,,
3469,3469,78.95,85.92,1.9,,,,,,44.42,,,,,,,,,
3470,3470,102.92,86.3,2.13,,,,,,43.6,,,,,,,,,
3471,3471,70.48,86.08,1.71,,,,,,38.7,,,,,,,,,
3472,3472,83.49,86.22,1.96,,,,,,41.2,,,,,,,,,
3473,3473,91.57,85.8,1.97,,,,,,43.67,,,,,,,,,
3474,3474,106.57,85.8,2.2,,,,,,41.61,,,,,,,,,
3475,3475,17.53,84.89,1.76,,,,,,40.64,,,,,,,,,
3476,3476,19.24,85.16,1.71,,,,,,40.96,,,,,,,,,
3477,3477,76.78,85.63,1.96,,,,,,41.01,,,,,,,,,
3478,3478,98.83,85.94,2.18,,,,,,41.52,,,,,,,,,
3479,3479,77.77,85.96,1.9,,,,,,41.13,,,,,,,,,
3480,3480,91.25,86.37,2.14,,,,,,43.61,,,,,,,,,
3481,3481,83.88,85.49,1.76,,,,,,40.29,,,,,,,,,
3482,3482,91.51,84.34,1.95,,,,,,40.53,,,,,,,,,
3483,3483,73.68,85.23,1.82,,,,,,39.98,,,,,,,,,
3484,3484,102.69,85.57,2.07,,,,,,40.58,,,,,,,,,
3485,3485,67.54,85.53,1.68,,,,,,42.38,,,,,,,,,
3486,3486,78.21,85.48,2.02,,,,,,40.55,,,,,,,,,
3487,3487,66.53,85.94,1.88,,,,,,43.26,,,,,,,,,
3488,3488,78.34,86.17,2.01,,,,,,38.71,,,,,,,,,
3489,3489,54.24,88.3,1.98,,,,,,,,,,,,,,,
3490,3490,42.14,88.23,1.96,,,,,,,,,,,,,,,
3491,3491,45.67,88.26,2.04,,,,,,,,,,,,,,,
3492,3492,46.18,88.5,2.07,,,,,,,,,,,,,,,
3493,3493,47.45,88.38,2.13,,,,,,,,,,,,,,,
3494,3494,46.37,88.33,2.04,,,,,,,,,,,,,,,
3495,3495,43.25,88.35,1.89,,,,,,,,,,,,,,,
3496,3496,39.65,88.6,2.05,,,,,,,,,,,,,,,
3497,3497,46.51,88.41,2.13,,,,,,,,,,,,,,,
3498,3498,49.51,88.16,2.19,,,,,,,,,,,,,,,
3499,3499,48.76,88.52,2.15,,,,,,,,,,,,,,,
