Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Bodenbearbeitung_Massnahme_ID
4713,2019,2018-10-11T00:00:00,41,13
4714,2019,2018-10-11T00:00:00,42,13
4715,2019,2018-10-11T00:00:00,43,13
4716,2019,2018-10-11T00:00:00,44,13
4717,2019,2018-10-11T00:00:00,45,13
4718,2019,2018-10-11T00:00:00,46,13
4719,2019,2018-10-11T00:00:00,47,13
4720,2019,2018-10-11T00:00:00,48,13
4721,2019,2018-10-11T00:00:00,49,13
4722,2019,2018-10-11T00:00:00,50,13
4723,2019,2018-10-11T00:00:00,51,13
4724,2019,2018-10-11T00:00:00,52,13
4725,2019,2018-10-11T00:00:00,53,13
4726,2019,2018-10-11T00:00:00,54,13
4727,2019,2018-10-11T00:00:00,55,13
4728,2019,2018-10-11T00:00:00,56,13
4729,2019,2018-10-11T00:00:00,57,13
4730,2019,2018-10-11T00:00:00,58,13
4731,2019,2018-10-11T00:00:00,59,13
4732,2019,2018-10-11T00:00:00,60,13
4733,2019,2018-10-11T00:00:00,61,13
4734,2019,2018-10-11T00:00:00,62,13
4735,2019,2018-10-11T00:00:00,63,13
4736,2019,2018-10-11T00:00:00,64,13
4737,2020,2019-11-07T00:00:00,1,7
4738,2020,2019-11-07T00:00:00,2,7
4739,2020,2019-11-07T00:00:00,3,7
4740,2020,2019-11-07T00:00:00,4,7
4741,2020,2019-11-07T00:00:00,5,7
4742,2020,2019-11-07T00:00:00,6,7
4743,2020,2019-11-07T00:00:00,7,7
4744,2020,2019-11-07T00:00:00,8,7
4745,2020,2019-11-07T00:00:00,9,7
4746,2020,2019-11-07T00:00:00,10,7
4747,2020,2019-11-07T00:00:00,11,7
4748,2020,2019-11-07T00:00:00,12,7
4749,2020,2019-11-07T00:00:00,13,7
4750,2020,2019-11-07T00:00:00,14,7
4751,2020,2019-11-07T00:00:00,15,7
4752,2020,2019-11-07T00:00:00,16,7
4753,2020,2019-11-07T00:00:00,17,7
4754,2020,2019-11-07T00:00:00,18,7
4755,2020,2019-11-07T00:00:00,19,7
4756,2020,2019-11-07T00:00:00,20,7
4757,2020,2019-11-07T00:00:00,21,7
4758,2020,2019-11-07T00:00:00,22,7
4759,2020,2019-11-07T00:00:00,23,7
4760,2020,2019-11-07T00:00:00,24,7
4761,2020,2019-11-07T00:00:00,25,7
4762,2020,2019-11-07T00:00:00,26,7
4763,2020,2019-11-07T00:00:00,27,7
4764,2020,2019-11-07T00:00:00,28,7
4765,2020,2019-11-07T00:00:00,29,7
4766,2020,2019-11-07T00:00:00,30,7
4767,2020,2019-11-07T00:00:00,31,7
4768,2020,2019-11-07T00:00:00,32,7
4769,2020,2019-11-07T00:00:00,33,7
4770,2020,2019-11-07T00:00:00,34,7
4771,2020,2019-11-07T00:00:00,35,7
4772,2020,2019-11-07T00:00:00,36,7
4773,2020,2019-11-07T00:00:00,37,7
4774,2020,2019-11-07T00:00:00,38,7
4775,2020,2019-11-07T00:00:00,39,7
4776,2020,2019-11-07T00:00:00,40,7
4777,2020,2019-11-07T00:00:00,41,7
4778,2020,2019-11-07T00:00:00,42,7
4779,2020,2019-11-07T00:00:00,43,7
4780,2020,2019-11-07T00:00:00,44,7
4781,2020,2019-11-07T00:00:00,45,7
4782,2020,2019-11-07T00:00:00,46,7
4783,2020,2019-11-07T00:00:00,47,7
4784,2020,2019-11-07T00:00:00,48,7
4785,2020,2019-11-07T00:00:00,49,7
4786,2020,2019-11-07T00:00:00,50,7
4787,2020,2019-11-07T00:00:00,51,7
4788,2020,2019-11-07T00:00:00,52,7
4789,2020,2019-11-07T00:00:00,53,7
4790,2020,2019-11-07T00:00:00,54,7
4791,2020,2019-11-07T00:00:00,55,7
4792,2020,2019-11-07T00:00:00,56,7
4793,2020,2019-11-07T00:00:00,57,7
4794,2020,2019-11-07T00:00:00,58,7
4795,2020,2019-11-07T00:00:00,59,7
4796,2020,2019-11-07T00:00:00,60,7
4797,2020,2019-11-07T00:00:00,61,7
4798,2020,2019-11-07T00:00:00,62,7
4799,2020,2019-11-07T00:00:00,63,7
4800,2020,2019-11-07T00:00:00,64,7
4801,2020,2020-03-30T00:00:00,1,13
4802,2020,2020-03-30T00:00:00,2,13
4803,2020,2020-03-30T00:00:00,3,13
4804,2020,2020-03-30T00:00:00,4,13
4805,2020,2020-03-30T00:00:00,5,13
4806,2020,2020-03-30T00:00:00,6,13
4807,2020,2020-03-30T00:00:00,7,13
4808,2020,2020-03-30T00:00:00,8,13
4809,2020,2020-03-30T00:00:00,9,13
4810,2020,2020-03-30T00:00:00,10,13
4811,2020,2020-03-30T00:00:00,11,13
4812,2020,2020-03-30T00:00:00,12,13
4813,2020,2020-03-30T00:00:00,13,13
4814,2020,2020-03-30T00:00:00,14,13
4815,2020,2020-03-30T00:00:00,15,13
4816,2020,2020-03-30T00:00:00,16,13
4817,2020,2020-03-30T00:00:00,17,13
4818,2020,2020-03-30T00:00:00,18,13
4819,2020,2020-03-30T00:00:00,19,13
4820,2020,2020-03-30T00:00:00,20,13
4821,2020,2020-03-30T00:00:00,21,13
4822,2020,2020-03-30T00:00:00,22,13
4823,2020,2020-03-30T00:00:00,23,13
4824,2020,2020-03-30T00:00:00,24,13
4825,2020,2020-03-30T00:00:00,25,13
4826,2020,2020-03-30T00:00:00,26,13
4827,2020,2020-03-30T00:00:00,27,13
4828,2020,2020-03-30T00:00:00,28,13
4829,2020,2020-03-30T00:00:00,29,13
4830,2020,2020-03-30T00:00:00,30,13
4831,2020,2020-03-30T00:00:00,31,13
4832,2020,2020-03-30T00:00:00,32,13
4833,2020,2020-03-30T00:00:00,33,13
4834,2020,2020-03-30T00:00:00,34,13
4835,2020,2020-03-30T00:00:00,35,13
4836,2020,2020-03-30T00:00:00,36,13
4837,2020,2020-03-30T00:00:00,37,13
4838,2020,2020-03-30T00:00:00,38,13
4839,2020,2020-03-30T00:00:00,39,13
4840,2020,2020-03-30T00:00:00,40,13
4841,2020,2020-03-30T00:00:00,41,13
4842,2020,2020-03-30T00:00:00,42,13
4843,2020,2020-03-30T00:00:00,43,13
4844,2020,2020-03-30T00:00:00,44,13
4845,2020,2020-03-30T00:00:00,45,13
4846,2020,2020-03-30T00:00:00,46,13
4847,2020,2020-03-30T00:00:00,47,13
4848,2020,2020-03-30T00:00:00,48,13
